code,url,name
669,/equities/techtronic-ind,Techtronic Industries
2313,/equities/shenzhou-intl,Shenzhou Int
2607,/equities/sh-pharma,Shanghai Pharma Holding
1033,/equities/sinopec-oilfield-service-corp,Sinopec Oilfield Service Corp
966,/equities/china-taiping,China Taiping Insurance
1071,/equities/huadian-power-hk,Huadian Power Int
1193,/equities/china-res-gas,China Resources Gas
3799,/equities/dali-foods-group-co-ltd,Dali Foods Co
1913,/equities/prada-spa,Prada SpA
2196,/equities/fosun-pharma,Shanghai Fosun Pharmaceutical
392,/equities/beijing-ent,Beijing Enterprises Holdings
3898,/equities/csr-times-elec,Zhuzhou CRRC
916,/equities/china-longyuan,China Longyuan Power
144,/equities/china-mer-hold,China Mer Hold
991,/equities/datang-international-power,Datang Intl Power
1929,/equities/chow-tai-fook,Chow Tai Fook Jewellery Group
607,/equities/fullshare-holdings-ltd,Fullshare Holdings Ltd
177,/equities/jiangsu-expres,Jiangsu Expressway
2883,/equities/china-oilfield,China Oilfield Services
1919,/equities/china-cosco-holdings,China Cosco Holdings
1171,/equities/yanzhou-coal-mining,Yanzhou Coal Mining
551,/equities/yue-yuen-ind,Yue Yuen Ind
1958,/equities/baic-motor-corp-ltd,BAIC Motor Corp Ltd
2319,/equities/china-mengniu-dairy-co.,China Mengniu Dairy
836,/equities/china-res-power,China Resources Power
3606,/equities/fuyao-glass-industry-group,Fuyao Glass Industry Group
2066,/equities/shengjing-bank-co-ltd,Shengjing Bank
175,/equities/geely-auto,Geely Automobile
659,/equities/nws-holdings,NWS Holdings Ltd
135,/equities/kunlun-energy-co-ltd,Kunlun Energy
992,/equities/lenovo-group-ltd,Lenovo Group
2208,/equities/goldwind,Xinjiang Goldwind
2020,/equities/anta-sports,ANTA Sports Products
2009,/equities/bbmg,BBMG Corp
358,/equities/jiangxi-copper,Jiangxi Copper
1378,/equities/chinahongqiao,China Hongqiao
6808,/equities/sunart-retail,Sun Art Retail
2688,/equities/enn-energy,ENN Energy
3969,/equities/china-railway-signal-communication,China Railway Signal Communication
293,/equities/cathay-pac-air,Cathay Pac Air
3396,/equities/legend-holdings-corp,Legend Holdings Corp
241,/equities/alibaba-health-info-tech-ltd,Alibaba Health Information Tech
1114,/equities/brilliance-chi,Brilliance China Automotive
2282,/equities/mgm-china,MGM China Holdings
2866,/equities/china-shipping-container-lines,China Shipping Container
696,/equities/travelsky-tech,TravelSky Technology
1578,/equities/bank-of-tianjin-co-ltd,Bank of Tianjin
257,/equities/china-everbright-intl-ltd,China Eb Int\'L
168,/equities/tsingtao-brewery,Tsingtao Brew
371,/equities/bj-ent-water,Beijing Enterprises Water
941,/equities/china-mobile,China Mobile
1398,/equities/icbc,ICBC
700,/equities/tencent-holdings-hk,Tencent Holdings
857,/equities/petrochina,Petrochina
939,/equities/ccb,China Construction Bank
1288,/equities/agricultural-bank-of-china,Agricultural Bank Of China
3988,/equities/bank-of-china-ss,Bank of China
5,/equities/hsbc-holdings,HSBC Holdings
386,/equities/sinopec-corp-ss,China Petrol &amp; Chemical
2318,/equities/ping-an,Ping An Insurance
2628,/equities/china-life,China Life Insurance
1299,/equities/aia-group,AIA Group
3968,/equities/china-merchants-bank,China Merchants Bank
3328,/equities/bankcomm,Bank of Communications
883,/equities/cnooc,CNOOC
1988,/equities/china-minsheng-banking,China Minsheng Banking
998,/equities/citic-bank,China Citic Bank
267,/equities/citic-pacific,Citic Pacific
1088,/equities/china-shenhua-ss,China Shenhua Energy
2202,/equities/china-vanke,China Vanke Co
728,/equities/china-telecom,China Telecom
1,/equities/cheung-kong,CK Hutchison
16,/equities/shk-ppt,SHK Ppt
1766,/equities/csr-(hk),CRRC Corp
2601,/equities/china-pacific-insurance,China Pacific Insurance
11,/equities/hang-seng-bank,Hang Seng Bank
688,/equities/china-overseas,China Overseas
2388,/equities/boc-hong-kong,BOC Hong Kong
6030,/equities/citic-sec,CITIC Securities
3699,/equities/dalian-wanda-commercial-prop,Dalian Wandammercial Properties
66,/equities/mtr-corporation,MTR Corporation
388,/equities/hkex,HKEX
6818,/equities/ceb-bank,China Everbright Bank
1800,/equities/china-communications-cons.,China Communications
1113,/equities/cheung-kong-property-holdings-ltd,Cheung Kong Property Holdings Ltd
1928,/equities/sands-china-ltd,Sands China
2,/equities/clp-holdings,CLP Holdings
6837,/equities/haitong-sec,Haitong Securities
2328,/equities/picc-property---casualty,PICC Property &amp; Casualty
762,/equities/china-unicom,China Unicom Hong Kong
390,/equities/china-railway-group,China Railway
1038,/equities/cki-holdings,CKI Holdings
3,/equities/hk---china-gas,HK &amp; China Gas
1211,/equities/byd-co.,BYD Co Ltd-H
6886,/equities/huatai-securities-co-ltd,Huatai Securities Co Ltd
566,/equities/hanergy-solar,Hanergy TFP
12,/equities/henderson-land,Henderson Land
1776,/equities/gf-securities-co-ltd,GF Securities Co Ltd
6,/equities/power-assets,Power Assets
1186,/equities/china-railway-construction,China Railway
1336,/equities/nci-(hk),New China Life Insurance
2238,/equities/gac-group,Guangzhou Automobile Group
4,/equities/wharf-holdings,Wharf Holdings
1339,/equities/picc-group,People\xa1\xafs Insurance Group China
